draw,random_network_mean_MAE_ugm3
390,25.725037217049834
391,23.144391680974234
392,14.624154529473325
393,21.92407989739394
394,17.646233316101238
395,18.468811793417327
396,16.11747655601908
397,15.925128092030036
398,17.238607670740894
399,15.132068150476153
400,21.141174512741607
401,17.251926699893346
402,20.669003637192837
403,22.827619231121087
404,19.70551822506644
405,23.48666997526125
406,20.450349340456356
407,22.536242683316527
408,17.872668942222255
409,25.10086384675097
410,18.646741181786776
411,16.729998309392766
412,17.34655067221392
413,16.891160285805626
414,23.092284904219387
415,16.995232501090612
416,23.31244153870432
417,29.373747793287794
418,27.020587612083826
419,21.735527805732342
420,19.662164152712098
421,21.428144571464284
422,26.02281235699172
423,20.767478316351276
424,20.580310761877055
425,18.211432405101714
426,20.670021667501754
427,20.346764542431696
428,24.378476373375175
429,20.658265749668622
430,19.970266652274443
431,20.689195287167998
432,19.672003670368323
433,20.404149047519848
434,22.21135206659736
435,21.4125551503454
436,18.446013108482934
437,32.26745254107229
438,23.07767168212528
439,16.37214149422493
440,24.452523986444863
441,22.5193450316264
442,21.302901065078387
443,17.60888174110104
444,24.591072332302506
445,24.357475600080374
446,16.59131242963806
447,24.669213112784604
448,23.17318770001832
449,21.110345351313853
450,21.89712625925392
451,19.634145793229674
452,20.352574848475452
453,12.967807121499519
454,17.68613738755985
455,22.767070774978603
456,22.602900481306836
457,15.209724795735404
458,18.215750911926666
459,17.704973687168668
460,21.992492178512805
461,19.806500133215216
462,18.67320786427111
463,20.743356047862324
464,23.365984067392404
465,23.537254402029433
466,21.33953739082219
467,18.32722924807148
468,25.930908970031854
469,23.594404041932155
470,18.82671848384444
471,18.71151493225557
472,16.508597707569578
473,19.67414421722314
474,18.775065394613335
475,18.06869155715758
476,26.87552400683488
477,15.685350631110234
478,17.19715695510692
479,17.658062238223675
480,23.749876090576933
481,22.76690353365744
482,22.084627249374225
483,14.243615518385866
484,20.580441620823247
485,17.895417992729104
486,22.25454910497199
487,20.70162907844
488,25.39794386696271
489,24.27905614541912
490,17.179889775993193
491,22.08584517166285
492,18.535835787152365
493,15.727948206479214
494,20.32207594816052
495,23.99485605634341
